time_s,knee_angle_deg
1.771557,109.8108
1.772470,109.5202
1.773534,109.4697
1.777771,109.1961
1.781143,108.6025
1.785708,108.2808
1.788522,107.9302
1.791334,107.5864
1.794130,107.2212
1.797065,106.8046
1.800894,106.4221
1.803582,105.9970
1.807155,105.5740
1.809018,105.0944
1.812176,104.6683
1.815387,104.1682
1.818554,103.6637
1.821321,103.1888
1.824882,102.7076
1.827798,102.1797
1.831006,101.7137
1.833866,101.2521
1.836288,100.7767
1.839803,100.3192
1.842608,99.8666
1.846182,99.4604
1.850676,98.5035
1.851895,98.5028
1.854581,98.0373
1.858239,97.4981
1.860907,97.0029
1.870464,96.5217
1.878152,93.9660
1.880838,93.3902
1.884995,92.8159
1.888223,92.1596
1.891145,91.5550
1.895183,90.3484
1.896363,90.2854
1.899060,89.5001
1.902175,88.8048
1.904925,88.1088
1.907487,87.3344
1.911682,86.6363
1.914574,85.9304
1.917245,85.1500
1.919595,84.4380
1.924438,83.7342
1.927347,82.9538
1.928501,82.2399
1.932937,81.5235
1.935801,80.8109
1.938023,80.0204
1.942172,79.2705
1.944658,78.5466
1.947585,77.7840
1.949957,77.1035
1.953082,76.4336
1.960462,74.9616
1.964098,73.5965
1.976674,71.4623
1.977668,70.6262
1.979837,69.8685
1.983032,69.1449
1.989811,67.5615
1.994881,66.7691
1.996888,65.2593
1.997939,65.1254
2.001419,64.3346
2.004442,63.5109
2.006760,62.5955
2.010199,61.7573
2.013224,60.9486
2.016364,60.0287
2.019898,59.1629
2.021783,58.3647
2.024855,57.4095
2.027927,56.5449
2.031051,55.7135
2.034138,54.8820
2.037508,54.0152
2.039973,53.2055
2.044321,52.3821
2.046326,51.5315
2.049912,50.7807
2.051895,50.0733
2.055197,49.3043
2.061564,47.9423
2.063895,47.2027
2.076092,44.8039
2.077089,44.6731
2.078114,44.0826
2.081257,43.3297
2.084517,42.5948
2.088156,41.8732
2.091460,41.1411
2.093520,40.3946
2.096576,39.5792
2.099779,38.8308
2.103460,38.1231
2.105966,37.3357
2.109324,36.6210
2.112523,35.9059
2.114827,35.0769
2.118307,34.3764
2.121515,33.6512
2.124729,33.5536
2.126708,32.2433
2.129915,31.6212
2.133346,30.9420
2.135293,30.3072
2.138427,30.2899
2.141593,29.7856
2.145180,28.7366
2.147223,28.7797
2.151713,27.7967
2.154711,27.3454
2.156896,26.9471
2.161111,26.5934
2.163220,26.2833
2.166376,25.9284
2.169615,25.6331
